من	מי
تصنيف	דירוג
تصنيف	סיווג
تصنيف	מיון
عن	על
عن	לגבי
عن	אודות
عام	שנת
عام	שנה
عام	ציבורית
عام	ציבורי
عام	ציבור
عام	הציבור
عام	כללי
عام	גנרל
اسم	השם
اسم	שם
مع	עם
بن	בן
المنطقة	אזור
المنطقة	מחוז
المنطقة	אזור
المنطقة	אזור
المنطقة	איזור
المنطقة	האזור
المنطقة	שטח
هو	בו
هو	אותו
هي	היא
هي	שלה
هي	בה
هي	לה
هي	עליה
هي	אותה
سنة	שנת
سنة	שנה
كان	היה
كان	הייתה
كان	היתה
اختياري	אופציונלי
هذه	זה
هذه	אלו
هذه	אלה
ما	מה
عدد	מספר
عدد	המספר
الذي	אשר
الذي	איזה
بعد	אחרי
بعد	לאחר
هذا	זה
هذا	זה
بين	בן
بين	בין
تعليق	הערה
تعليق	תגובה
تاريخ	תאריך
تاريخ	התאריך
تاريخ	דייט
تاريخ	היסטוריה
تاريخ	ההיסטוריה
حيث	לאן
حيث	איפה
حيث	היכן
نوع	מיון
نوع	סוג
نوع	אדיב
نوع	סוג
سطر	קו
سطر	שורה
المتحدة	יונייטד
المتحدة	מאוחדים
ذلك	זה
خط	קו
خط	שורה
خط	גופן
عبد	עבדול
عبد	עבד
عبد	שפחה
التوقيت	תיזמון
التوقيت	עיתוי
التوقيت	תזמון
كانت	היה
كانت	הייתה
كانت	היתה
المسؤول	מנהל
المسؤول	אחראית
المسؤول	אחראי
المسؤول	אחריות
المسؤول	האחראי
المسؤول	אחראיות
المسؤول	אחראים
مدينة	העיר
مدينة	עיר
مدينة	סיטי
محمد	מוחמד
محمد	מוחמד
محمد	מוחמד
محمد	מהמט
محمد	מוחמד
المدينة	טאון
المدينة	עיירה
المدينة	עיר
المدينة	העיר
المدينة	העיר
المدينة	עיר
المدينة	סיטי
قبل	לפני
تم	בוצע
تم	סיים
تم	סיימתי
تم	סגור
كرة	כדור
كل	כולם
كل	הכל
كل	כל
كل	לאכול
كل	תאכל
كل	תאכלו
الله	אלהים
الله	אלוקים
الله	אלוהים
الله	אללה
غير	שינוי
غير	עודף
حتى	אפילו
حتى	עד
مساحة	אזור
مساحة	איזור
مساحة	האזור
مساحة	שטח
مساحة	חלל
مساحة	מרחב
قد	במאי
قد	מיי
قد	מאי
محافظة	נפה
محافظة	מחוז
محافظة	גרודנו
محافظة	שמרני
محافظة	שמרנית
محافظة	שמרן
خلال	במהלך
خلال	דרך
الولايات	מדינות
الولايات	מנדטים
اليمن	תימן
ثم	ואז
مثل	כמו
مثل	אוהב
مثل	כאילו
خارجية	חיצוניים
خارجية	חיצוניות
خارجية	חיצונית
خارجية	חיצוני
توقيت	תיזמון
توقيت	עיתוי
توقيت	תזמון
الصورة	תמונה
الصورة	תדמית
الصورة	התמונה
الصورة	תמונה
الصورة	התמונה
الصورة	תמונה
علم	הדגל
علم	דגל
علم	עותק
علم	העתק
علم	העתקה
له	בו
له	אותו
خريطة	מפת
خريطة	מפה
خريطة	המפה
بعض	כמה
بعض	חלקם
فرق	ההבדל
فرق	הבדל
فرق	קבוצות
فرق	צוותי
فرق	צוותים
قدم	פוט
قدم	רגל
قدم	רגל
قدم	מטר
قدم	רגליים
العربية	ערבים
العربية	ערבי
العربية	ערבית
قائمة	התפריט
قائمة	תפריט
قائمة	רשימה
قائمة	הרשימה
مقاطعة	המחוז
مقاطعة	מחוז
مقاطعة	נפה
مقاطعة	מחוז
مقاطعة	חרם
مقاطعة	להחרים
تقسيم	החלוקה
تقسيم	חלוקה
تقسيم	לפצל
تقسيم	פיצול
العالم	העולם
العالم	עולם
العالم	מדען
العالم	מדענית
القرن	הורן
القرن	צופר
القرن	המאה
الموقع	המיקום
الموقع	מיקום
الثاني	שניה
الثاني	שנייה
الثاني	שני
الثاني	שנית
القدم	פוט
القدم	רגל
القدم	רגל
القدم	מטר
القدم	רגליים
القدم	רגל
علي	עלי
علي	אלי
منطقة	אזור
منطقة	מחוז
منطقة	אזור
منطقة	אזור
منطقة	איזור
منطقة	האזור
منطقة	שטח
انظر	תראי
انظر	תראה
انظر	תראו
الرمز	סמל
الرمز	קוד
الرمز	צופן
البلد	מדינה
البلد	ארץ
البلد	ארצי
مدن	ערים
مدن	עיירות
مدن	ערים
مدن	הערים
يمكن	יכולת
يمكن	יכול
يمكن	יכולה
يمكن	יכול
نتيجة	תוצאות
نتيجة	תוצאה
الكلية	מכללה
الكلية	המכללה
الكلية	כליה
الكلية	כליות
الكلية	הכליה
الكلية	סגל
الكلية	הפקולטה
ولاية	מדינה
ولاية	המדינה
نادي	קלאב
نادي	מועדון
نادي	המועדון
العرض	תציעו
العرض	הצעה
العرض	ההצעה
العرض	הראה
العرض	הצגה
العرض	הצג
العرض	רוחב
العرض	הצגה
العرض	מצגת
العرض	המצגת
العرض	תצוגה
العرض	הצג
الوطني	פטריוט
الوطني	פטריוטים
جامعة	אוניברסיטה
جامعة	האוניברסיטה
المساحة	אזור
المساحة	איזור
المساحة	האזור
المساحة	שטח
الطول	אורך
الطول	האורך
الطول	גובה
الحياة	life
الحياة	החיים
الحياة	חיים
مصر	מצריים
مصر	מצרים
وصلات	קישורים
المركز	המרכז
المركز	מרכז
المركز	סנטר
المركز	המרכז
المركز	מרכז
ولكن	אך
ولكن	אבל
المياه	מיים
المياه	מים
مجموعة	חבורה
مجموعة	הקבוצה
مجموعة	קבוצה
مجموعة	האוסף
مجموعة	אוסף
لها	שלה
لها	בה
لها	לה
لها	עליה
لها	אותה
قرى	הכפרים
قرى	כפרים
موقع	המיקום
موقع	מיקום
ان	אן
ان	אן
مكان	המקום
مكان	מקום
نقاش	דיון
نقاش	דיון
نقاش	ויכוח
نقاش	עימות
الثالث	שלישי
الثالث	השלישי
الثالث	שלישית
هناك	שם
تحت	מתחת
تحت	למטה
تحت	בהמשך
تحت	להלן
تحت	תחת
تحت	מתחת
منذ	מאז
حجم	נפח
حجم	כרך
حجم	מידה
حجم	גודל
الشيخ	שייח
العديد	הרבה
العديد	רבות
العديد	רבים
المحافظة	נפה
المحافظة	מחוז
المحافظة	שימור
المحافظة	שימור
المحافظة	שמרני
المحافظة	שמרנית
المحافظة	שמרן
الحرب	מלחמה
الحرب	המלחמה
قرية	כפר
قرية	הכפר
العام	שנת
العام	שנה
رئيس	נשיא
رئيس	נשיאה
رئيس	הנשיא
رئيس	המפקדת
رئيس	ראשי
رئيس	בוס
عندما	מתי
عندما	כאשר
الكثافة	עוצמה
الكثافة	צפיפות
الكثافة	הצפיפות
الوفاة	המוות
الوفاة	מות
الوفاة	מוות
شعار	הסלוגן
شعار	לוגו
شعار	הלוגו
شعار	המוטו
شعار	מוטו
عزلة	בידוד
عزلة	בדידות
كتاب	ספר
مديرية	דיירקטור
ابن	בני
ابن	בן
حول	על
حول	לגבי
حول	אודות
العمل	פעולה
العمل	עשייה
العمل	אקשן
العمل	עבודה
العمل	עסק
العمل	עסקים
الخريطة	מפת
الخريطة	מפה
الخريطة	המפה
الرسمي	רשמי
الرسمي	רישמי
الرسمي	רשמי
الرسمي	פורמלי
عشر	עשר
عشر	ten
عشر	עשרה
سنوات	שנים
سنوات	שנה
بسبب	כי
بسبب	בגלל
يوم	יום
يوم	day
كتابة	תכתבי
كتابة	לכתוב
كتابة	כתוב
كتابة	תכתוב
كتابة	כתבי
كتابة	כתיבה
كتابة	כותבת
كتابة	כותב
طريق	כביש
الدين	דת
الدين	חוב
الدين	חובי
مركز	המרכז
مركز	מרכז
مركز	סנטר
مركز	המרכז
مركز	מרכז
ملف	קובץ
ملف	הקובץ
لكن	אך
لكن	אבל
جميع	כולם
جميع	הכל
جميع	כל
العربي	ערבים
العربي	ערבי
مجلس	מועצה
مجلس	המועצה
الثانية	שניה
الثانية	שנייה
الثانية	שני
الثانية	שנית
السكان	מתמחים
السكان	תושבים
السكان	אוכלוסיית
السكان	אוכלוסייה
السكان	אוכלוסיה
الدولة	מדינה
الدولة	המדינה
قال	סעיד
قال	אמרה
قال	אמר
الملك	המלך
الملك	קינג
