بيس	בס
الجزيئية	מולקולרית
الليزر	לייזר
الليزر	לייזרים
الثمن	המחיר
الفنلندية	פינלנד
الفنلندية	פיני
مقبولة	התקבלה
الكابتن	קפטן
كوارث	אסונות
هاما	האמה
ضرورية	נחוץ
الجرح	פצע
الركن	לפינה
الحوسبة	מחשוב
المرسوم	צו
بالغ	בוגרת
تنوع	גיוון
تنوع	מגוון
سال	סאל
انتظار	מחכה
انتظار	חכה
كلاب	כלבים
بروكلين	ברוקלין
الكرسي	כסא
الجنسين	מינים
حاجز	מחסום
الاستمرار	המשך
تخدم	מרצה
تخدم	הגשה
شن	שין
عميق	עמוקים
فنادق	מלונות
اغسطس	אוגוסט
اغسطس	אוג
اغسطس	אוגוסטוס
ميثاق	קומפקטי
التعذيب	עינוי
المواصلات	תחבורה
المواصلات	תחבורה
الامير	נסיך
براغ	פראג
مدغشقر	מדגסקר
كارلو	קרלו
كاثرين	קתרין
الخصم	הנחה
الخصم	היריב
قل	תגיד
تنس	טניס
الملاح	נווט
طويلا	ארוך
تعلن	מכריז
تعلن	מכריז
الامن	בטחון
الملا	מולא
التصرف	מערכה
شباك	רשתות
الجافة	יבשים
الرياضات	ספורט
سمكة	דג
قريبا	בקרוב
نخبة	עילית
متغير	משתנה
التخريب	חבלה
التخريب	ונדליזם
ملكي	מוקש
وثائقي	תיעודי
ليتوانيا	ליטאי
ليتوانيا	ליטא
ذهبت	נעלמה
الدكتوراة	דוקטורט
ابتدائية	יסודי
رفقة	החברה
الفهم	ההבנה
الهروب	מילוט
ميجا	מגה
الشرايين	עורק
مدرجة	רשום
النخبة	עילית
التيارات	זרמים
صانع	אופה
عريضة	עצומה
لحن	לחן
لحن	המנגינה
كربون	פחמן
مايك	מייק
الاتجاهات	מגמות
الطيف	הספקטרום
دافيد	דויד
الدرع	מגן
كرسي	כסא
داي	דיי
داي	דאי
كسب	להרוויח
كسب	מרוויחה
فيل	פיל
الحاجز	מחסום
اجتمع	נפגשו
اللبن	יוגורט
اللبن	חלב
رامي	רמי
معتمدة	מוסמכת
معتمدة	מאושר
الريح	הרוח
العقوبات	קנסות
العقوبات	עונשים
العقوبات	סנקציות
مؤقتة	זמנית
تغذية	להאכיל
تغذية	תזונה
محمولة	נייד
مكتبات	ספריות
اتفق	מסכימה
اتفق	מסכימים
الغرف	חדרים
تفعيل	הפעלה
تفعيل	הפעל
حكيم	חכמה
المهرجانات	פסטיבלים
حفلة	מפלגה
يكشف	חושף
يكشف	מגלה
الدرجات	הציונים
الدرجات	מדרגות
مدرس	המורה
الحقول	שדות
غربا	המערב
قبالة	כבוי
ماركو	מרקו
يوناني	יוונים
حداد	באבל
مفيد	שימושית
مفيد	עוזר
مفيد	שימושי
مفاتيح	המפתחות
لوكسمبورغ	לוקסמבורג
البوندسليغا	בונדסליגה
الجد	סבא
الجد	סב
التشكيل	תצורה
التشكيل	תצורה
التشكيل	הרכבה
العشائر	שבטים
مذبحة	טבח
مذبحة	טבח
انواع	הסוגים
المسح	סורקת
المسح	סקר
المسح	סריקת
يحل	פותר
بطاقات	כרטיסים
المجموع	הכולל
التل	היל
الذراع	זרוע
الفلاسفة	פילוסופים
الدروس	שיעורים
الاكتئاب	דיכאון
رقيقة	דקים
الفنادق	מלונות
الامبراطور	קיסר
هبوط	נחיתה
قطاعات	מגזרים
الحمر	האדומים
الشحن	מטען
الشحن	טוען
الشحن	משלוחים
السيناريو	תסריט
السيناريو	תרחיש
السيناريو	התסריט
كلينتون	קלינטון
ثروة	עושר
المربع	סקוור
اللهجات	ניבים
اللهجات	מבטאים
الخيار	מלפפון
الخيار	אפשרות
الخيار	ברירה
كواكب	כוכבים
سنوية	שנתי
سنوية	השנתי
شعارات	לוגו
شعارات	סיסמאות
شعارات	כרזות
التميمي	תמימי
السمع	שימוע
الهزيمة	תבוסה
مرتفعات	הייטס
ديترويت	דטרויט
مفصل	מפורטת
المرشحين	מועמדות
المغناطيسية	מגנטיות
المغناطيسية	מגנטיים
الحبل	חבל
حاملة	נשא
المقارنة	השוואתית
المقارنة	השוואה
الدب	דוב
اعداد	הגדרות
اعداد	הכנות
حجرة	חדר
عزبة	מנור
غشاء	וניר
غشاء	קרום
المعابد	מקדשים
النطق	הגיית
ثوم	שום
تهمة	חיוב
الناخبين	מצביעים
اعتقل	מעצר
اعتقل	נעצרו
النقوش	כתובות
الزائدة	תוספתן
الصنع	ייצור
تومي	טומי
ملحمة	אפיק
جلد	עור
جلد	העור
الاعتداء	תקיפה
مصممة	מעצבים
ملحوظة	תו
الجفاف	הבצורת
الجفاف	התייבשות
نافذة	חלון
العنب	ענבים
تحسن	השתפר
تحسن	שיפור
اصل	מקור
الصدمة	הלם
الصدمة	טראומה
المسافرين	נוסעים
المسافرين	מטיילים
المسافرين	נוסעים
ابرز	מודגשים
ابرز	להדגיש
ابرز	מדגיש
سرقة	שוד
سرقة	גניבה
سرقة	גניבת
كانو	קאנו
بلو	כחולה
الروحية	רוחנית
هرم	הפירמידה
الرومانسية	רומנטיקה
الغوص	צלילה
الغوص	לצלול
ذرية	צאצאים
ذرية	אטומי
البني	בראון
سامسونج	סמסונג
مدفع	תותח
شحن	מטען
شحن	טוען
شحن	משלוחים
يان	יאן
يان	יאן
الرمل	סאנד
مانع	אכפת
القاعة	הול
الحركية	קינטית
المميز	בהשתתפות
القنابل	פצצות
وسائط	מצבים
جراحية	כירורגיה
باول	פאול
الملاعب	אצטדיונים
ينمو	גדל
ينمو	גדלים
ينمو	צומח
النواحي	היבטים
كليفلاند	קליבלנד
يسجل	הקלטה
الفيل	פיל
البيانو	פסנתר
التلفاز	טלוויזיה
المتحدث	רמקול
خبير	מומחה
كمبيوتر	מחשב
روز	רוז
صعود	מתגבר
فالي	עמק
قضاة	שופטים
منحة	גרנט
التخلي	נטישה
التعادل	זוגיות
التعادل	עניבה
القوس	הקשת
ماثيو	מתיו
صيدا	סעידה
صيدا	סידון
تسلم	קבלה
العنصرية	גזענות
العنصرية	גזענות
المشي	הליכה
المشي	הליכה
شئ	משהו
الكاتبة	כותב
هدى	הנחייה
هدى	הודא
الاندماج	מיזוג
الاندماج	אינטגרציה
كراي	קריי
اليومي	יומית
شمل	כולל
الكعبة	כעבה
كروز	שייט
الترفيه	פנאי
الترفيه	בידור
صفقة	מציאה
صفقة	עסקה
الوقوف	עמידה
الوقوف	עמוד
دبلوماسية	דיפלומטי
دبلوماسية	דיפלומטיה
الملائكة	מלאכיות
الزملاء	עמיתים
باك	באק
السمات	תכונות
السمات	תכונות
كارثة	אסון
غواتيمالا	גואטמלה
غواتيمالا	גואטמלה
مفاوضات	ומתן
المحاسبة	חשבונאות
الموحد	המדים
يفصل	מפריד
يونانية	יוונים
عميقة	עמוקים
الكريمة	קרם
اجراء	פעולה
اجراء	נוהל
البعثات	משימות
دانييل	דניאל
فهرس	מדד
فهرس	קטלוג
فهرس	קטלוג
دوقية	דוכסות
مارغريت	מרגרט
دماء	דם
سوزان	סוזאן
عنبر	וורד
مماثل	זהים
مماثل	דומות
المغني	זמרת
كارولينا	קרוליינה
المحيطات	האוקיינוסים
المحيطات	האוקיינוס
ليالي	לילות
اتفاقيات	כנסים
المحاضرات	הרצאות
نيبال	נפאל
شريك	פרטנר
المفاتيح	המפתחות
عنيفة	אלימה
المحسن	השתפר
ابي	אבא
عانى	סבלה
واليابان	יפן
هاي	האי
هاي	היי
هاي	חציר
حلت	פתרתי
السادة	רבותיי
نظمت	מבוים
فورت	מבצר
رايت	נראתה
رايت	מסור
السوريين	סורים
يلتقي	פוגש
بروكسل	בריסל
سمات	תכונות
سمات	תכונות
مشروعات	פרויקטים
الناصرة	נצרת
البصر	הראייה
صوفي	סופי
رمسيس	רעמסס
منغوليا	מונגולי
منغوليا	מונגוליה
الصليبيين	צלבנים
فتحت	נפתח
صحي	בריאים
المشاعر	רגשות
المشاعر	תחושות
اختراق	הפרה
اختراق	פירסינג
اختراق	לפרוץ
فيفا	מונדיאל
ركن	לפינה
عصبي	עצבני
الاستاذ	פרופסור
شق	חתך
شق	סדק
حدد	ציין
حدد	בחרי
الكوميديا	קומדיה
الكرامة	כבוד
الكتف	כתף
معترف	מזוהה
القط	חתול
بركان	געש
هامبورغ	המבורג
جزئي	חלקית
الفقرات	פסקאות
ربحية	רווחיות
دجلة	החידקל
حفيد	נכד
الليثيوم	ליתיום
بنين	בנין
هدم	הריסה
اغنية	שיר
مصرف	בנק
قياسي	סטנדרטים
مذكرة	המזכר
مذكرة	מזכר
الكلاسيكي	קלאסי
تلقائي	אוטומטי
المنتدى	פורום
خزان	טנק
صممت	עיצב
مجلد	התיקייה
وليم	ויליאם
قبله	נשיקה
السكن	דיור
السكن	לינה
حائز	מחזיק
كيان	הישות
البعيد	מרוחק
البعيد	מרוחק
صعوبات	קשיים
جدل	מחלוקת
شون	שון
اسطنبول	איסטנבול
باتمان	באטמן
الفلم	סרט
يولد	נולדת
حرق	לשרוף
حرق	שורף
نقش	חריטה
نقش	הקדשה
فلورنسا	פלורנס
بورت	ברט
بورت	נמל
مترجم	מתורגמן
مترجم	מתורגמן
جلسات	פגישות
تام	תם
القراءات	קריאות
عال	גבוה
عال	רם
مريض	המטופל
مريض	חולה
بطريق	פינגווין
جرعة	מינון
مناورات	תמרונים
مناورات	תמרונים
مثيرة	סקסיות
مثيرة	מרגשת
المقيمين	מתמחים
الشفاء	ריפוי
شتاء	החורף
شرب	שותה
شرب	שתייה
اكتساب	צובר
اكتساب	רכישה
ليوناردو	לאונרדו
المتاحف	מוזיאונים
بورما	בורמה
بورما	בורמזי
سين	סאן
النزاعات	עימותים
النزاعات	מחלוקות
منتظم	רגילה
الجيولوجية	הגיאולוגי
رمزي	סמלי
استكشاف	לחקור
استكشاف	לחקור
درعا	שריון
درعا	מגן
درعا	דרעא
الصانع	היצרן
الذئاب	זאבים
المواصفات	מפרט
المواصفات	מפרט
كيب	קיפ
زر	כפתור
القبلية	שבט
الطيبة	חסד
جوقة	מקהלה
موانئ	נמלים
شعور	הרגשה
العملاق	הענק
ريفية	כפרי
الصهيوني	ציוני
ليلا	ליילה
ليلا	לילה
العجز	לקות
العجز	גירעון
الانتقام	נקמה
جرام	גרם
بولونيا	נקניק
نيكولا	ניקולא
الضابط	קצינה
الفاكهة	פרי
الكود	קוד
حريق	אש
شواطئ	החופים
الخلط	ערבוב
الخلط	בלבול
الخلط	מבולבלת
الزهراء	זהרה
تصريح	הרשאה
تصريح	הרשאה
دلالة	חשיבות
منفصل	פרודים
منفصل	נפרד
هود	הוד
بديلة	אלטרנטיבית
بديلة	אלטרנטיבי
ذروة	שיא
ذروة	פסגת
الشيعية	שיעי
الشهادات	תעודה
الشهادات	עדויות
الشهادات	תעודות
التنبؤ	חיזוי
المشرف	מנחה
المشرف	מפקח
المشرف	מתחזק
المشرف	מנהל
ترميز	קידוד
ترميز	קידוד
هيلين	הלן
يفتح	פותח
مثبطات	מעכבי
الحمد	השבח
الصيانة	תחזוקה
التبغ	טבק
اصدار	המהדורה
اصدار	גרסה
اصدار	גיליון
ليلي	לילי
فيشر	פישר
كول	קול
صغار	צעירה
راسل	ראסל
صديقة	חברה
شتات	ובתפוצות
الجمجمة	גולגולת
الكبريت	גופרית
الكبريت	גופרית
الظل	צללים
الظل	הצל
الظل	צל
يختار	בוחר
يختار	בוחרת
كارتر	קרטר
نيفادا	נבדה
القلم	פן
التقديرات	אומדן
التقديرات	הערכות
تدرج	גרדיאנט
تدرج	הכנס
مواصلة	המשך
كاي	קאי
كاي	קיי
التنين	דרגון
تغيرت	שינה
النضال	מאבק
القيروان	קירואן
اريد	רוצה
هول	הול
هول	האוול
مشارك	משתתפים
الطقوس	טכס
الطقوس	טקסים
الفطر	פטריות
المعتقدات	אמונות
دل	דל
جرذ	חולדה
سكاي	שמיים
القنيطرة	קוניטרה
ثمان	שמונה
مشاركات	שיתופים
باعتبار	בהתחשב
الناجحة	מוצלח
السجل	תקליט
السجل	רשום
السجل	יומן
السجل	רישום
موحدة	המדים
التحدي	אתגר
سونغ	סונג
سونغ	שיר
محاضرة	הרצאה
النانو	נאנו
الالكترونية	אלקטרונית
هوليوود	הוליווד
بوير	בוייר
البقرة	פרה
الديناصورات	דינוזאורים
الديناصورات	דינוזאורים
شمسي	שמש
اربع	four
الحافة	הקצה
خريف	סתיו
فرح	שמחה
فرح	פארה
صناعات	תעשיות
الخبرات	מומחיות
الخبرات	חוויות
الخبرات	ניסיון
المدار	מסלול
متسابق	רייסר
التشريح	אנטומיה
التشريح	הנתיחה
ظاهر	גלויה
دفعة	קדמי
دفعة	אצווה
دفعة	תשלום
النسوية	פמיניזם
النسوية	פמיניסטית
لوح	הלוח
لوح	הלוח
لوح	גל
عينات	דגימות
الميل	הטה
الميل	מייל
مزايا	יתרונות
مغلقة	סגורות
منصات	בבמות
منصات	רפידות
منصات	משטחים
المليون	מיליון
تقليد	מסורת
الشيرازي	שירזי
ميكانيكية	מכני
السعة	קיבולת
السعة	משרעת
التهديد	איום
المسلح	האקדוחן
الموانئ	נמלים
عقل	מוח
عقل	אכפת
دنيا	מינימום
الطلاق	גט
خفيف	אור
مونتريال	מונטריאול
جلدية	עור
الفائزين	זוכים
المرجح	משוקלל
بطليموس	תלמי
تهديد	מאיימת
تهديد	איום
المعيار	קריטריון
المعيار	סטנדרטים
الهياكل	מבנים
المنفى	הגלות
تشابه	דמיון
الرباعي	רביעיית
المصلحة	ריבית
مجلدات	התיקיות
مجلدات	כרכים
الحفظ	שימור
الحفظ	מצילה
الحفظ	שימור
باراغواي	פרגוואי
استخدامات	משתמשת
يوميات	יומן
يوميات	יומני
